stud_id,stud_name,total_credits,dept_id,advisor_id
22111001,ABHISHEK,16,D101,F101
22111002,ADITI,22,D102,F103
22111003,ADITYA,18,D103,F105
22111004,AKSHAY,22,D104,F107
22111005,AMIT,18,D105,F109
22111006,AVANTIKA,20,D101,F101
22111007,AKASH,16,D102,F103
22111008,GOKUL,18,D103,F105
22111009,ATHARVA,22,D104,F107
22111010,ASHWIN,16,D105,F109
22111011,SAIKUMAR,16,D101,F101
22111014,DEEPAK,18,D102,F103
22111015,GAURI,18,D103,F105
22111016,TEJAS,16,D104,F107
22111017,PRAVIN,22,D105,F109
22111018,AADITYA,20,D101,F101
22111019,LAXMAN,22,D102,F103
22111020,ROHIT,18,D103,F105
22111022,TEJAS,18,D104,F107
22111023,SHUBHAM,20,D105,F109
22111024,VISHAL,20,D101,F101
22111025,BRAMHANAND,22,D102,F103
22111026,SNEHAL,22,D103,F105
22111027,KARTIK,22,D104,F107
22111028,HARSHAL,20,D105,F109
22111029,VARDHAMAN,18,D101,F101
22111030,SAGAR,20,D102,F103
22111031,VISHAL,18,D103,F105
22111032,KIRAN,22,D104,F107
22111033,MADHURA,16,D105,F109
