stud_id,stud_name,DOB,total_credits,dept_id,advisor_id
22111001,ABHISHEK,2000-01-01,16,D101,F101
22111002,ADITI,2000-01-02,22,D102,F103
22111003,ADITYA,2000-01-03,18,D103,F105
22111004,AKSHAY,2000-01-04,22,D104,F107
22111005,AMIT,2000-01-05,18,D105,F109
22111006,AVANTIKA,2000-01-06,20,D101,F101
22111007,AKASH,2000-01-07,16,D102,F103
22111008,GOKUL,2000-01-08,18,D103,F105
22111009,ATHARVA,2000-01-09,22,D104,F107
22111010,ASHWIN,2000-01-10,16,D105,F109
22111011,SAIKUMAR,2000-01-11,16,D101,F101
22111014,DEEPAK,2000-01-12,18,D102,F103
22111015,GAURI,2000-01-13,18,D103,F105
22111016,TEJAS,2000-01-14,16,D104,F107
22111017,PRAVIN,2000-01-15,22,D105,F109
22111018,AADITYA,2000-01-16,20,D101,F101
22111019,LAXMAN,2000-01-17,22,D102,F103
22111020,ROHIT,2000-01-18,18,D103,F105
22111022,TEJAS,2000-01-19,18,D104,F107
22111023,SHUBHAM,2000-01-20,20,D105,F109
22111024,VISHAL,2000-01-21,20,D101,F101
22111025,BRAMHANAND,2000-01-22,22,D102,F103
22111026,SNEHAL,2000-01-23,22,D103,F105
22111027,KARTIK,2000-01-24,22,D104,F107
22111028,HARSHAL,2000-01-25,20,D105,F109
22111029,VARDHAMAN,2000-01-26,18,D101,F101
22111030,SAGAR,2000-01-27,20,D102,F103
22111031,VISHAL,2000-01-28,18,D103,F105
22111032,KIRAN,2000-01-29,22,D104,F107
22111033,MADHURA,2000-01-30,16,D105,F109
